acc_X(g)	acc_Y(g)	acc_Z(g)	Time	Cluster
0.769	0.466	-0.395	2024-01-02 18:02:12.118	2
0.76	0.479	-0.416	2024-01-02 18:02:12.205	2
0.751	0.49	-0.431	2024-01-02 18:02:12.294	2
0.749	0.514	-0.454	2024-01-02 18:02:12.415	2
0.741	0.521	-0.461	2024-01-02 18:02:12.478	2
0.722	0.534	-0.473	2024-01-02 18:02:12.597	2
0.726	0.517	-0.47	2024-01-02 18:02:12.685	2
0.723	0.518	-0.477	2024-01-02 18:02:12.805	2
0.733	0.515	-0.463	2024-01-02 18:02:12.894	2
0.729	0.539	-0.456	2024-01-02 18:02:13.150	2
0.748	0.578	-0.454	2024-01-02 18:02:13.104	2
0.831	0.568	-0.439	2024-01-02 18:02:13.225	2
0.698	0.558	-0.379	2024-01-02 18:02:13.286	2
0.883	0.242	-0.445	2024-01-02 18:02:13.405	2
0.832	0.382	-0.328	2024-01-02 18:02:13.493	2
0.863	0.357	-0.404	2024-01-02 18:02:13.614	2
0.832	0.299	-0.4	2024-01-02 18:02:13.705	2
0.78	0.369	-0.503	2024-01-02 18:02:13.825	2
0.535	0.9	-0.349	2024-01-02 18:02:13.886	1
0.601	0.719	-0.551	2024-01-02 18:02:14.400	2
0.701	0.474	-0.42	2024-01-02 18:02:14.950	2
0.673	0.503	-0.438	2024-01-02 18:02:14.218	2
0.643	0.467	-0.457	2024-01-02 18:02:14.306	2
1.013	0.302	-0.468	2024-01-02 18:02:14.425	2
0.887	0.743	-0.467	2024-01-02 18:02:14.515	2
0.815	0.572	-0.309	2024-01-02 18:02:14.634	2
0.716	0.444	-0.255	2024-01-02 18:02:14.695	2
0.741	0.372	-0.354	2024-01-02 18:02:14.815	2
0.851	0.411	-0.418	2024-01-02 18:02:14.905	2
0.784	0.477	-0.445	2024-01-02 18:02:15.240	2
0.826	0.394	-0.613	2024-01-02 18:02:15.114	2
0.843	0.697	-0.527	2024-01-02 18:02:15.233	2
0.624	0.589	-0.17	2024-01-02 18:02:15.292	1
0.53	0.634	-0.394	2024-01-02 18:02:15.413	1
0.429	0.567	-0.378	2024-01-02 18:02:15.504	1
0.54	0.53	-0.458	2024-01-02 18:02:15.654	2
1.154	0.63	-0.663	2024-01-02 18:02:15.714	2
0.868	0.854	-0.429	2024-01-02 18:02:15.838	2
0.803	0.446	-0.314	2024-01-02 18:02:15.955	2
0.84	0.455	-0.286	2024-01-02 18:02:16.450	2
0.767	0.396	-0.333	2024-01-02 18:02:16.104	2
0.823	0.345	-0.391	2024-01-02 18:02:16.224	2
0.675	0.458	-0.36	2024-01-02 18:02:16.313	2
0.567	0.779	-0.395	2024-01-02 18:02:16.434	1
0.633	0.65	-0.54	2024-01-02 18:02:16.524	2
0.668	0.613	-0.444	2024-01-02 18:02:16.644	2
0.691	0.605	-0.455	2024-01-02 18:02:16.703	2
0.689	0.558	-0.457	2024-01-02 18:02:16.823	2
0.682	0.561	-0.464	2024-01-02 18:02:16.913	2
0.687	0.576	-0.478	2024-01-02 18:02:17.340	2
0.639	0.597	-0.474	2024-01-02 18:02:17.123	2
0.703	0.58	-0.502	2024-01-02 18:02:17.244	2
0.704	0.552	-0.438	2024-01-02 18:02:17.335	2
0.717	0.537	-0.43	2024-01-02 18:02:17.456	2
0.741	0.542	-0.434	2024-01-02 18:02:17.513	2
0.758	0.508	-0.418	2024-01-02 18:02:17.634	2
0.802	0.466	-0.412	2024-01-02 18:02:17.724	2
0.811	0.449	-0.417	2024-01-02 18:02:17.844	2
0.795	0.448	-0.424	2024-01-02 18:02:17.934	2
0.804	0.44	-0.423	2024-01-02 18:02:18.540	2
0.79	0.456	-0.436	2024-01-02 18:02:18.114	2
0.805	0.438	-0.445	2024-01-02 18:02:18.233	2
0.802	0.416	-0.46	2024-01-02 18:02:18.323	2
0.791	0.446	-0.437	2024-01-02 18:02:18.447	2
0.765	0.48	-0.443	2024-01-02 18:02:18.534	2
0.731	0.458	-0.456	2024-01-02 18:02:18.655	2
0.731	0.449	-0.457	2024-01-02 18:02:18.747	2
0.789	0.421	-0.486	2024-01-02 18:02:18.865	2
0.719	0.481	-0.486	2024-01-02 18:02:18.925	2
0.833	0.44	-0.508	2024-01-02 18:02:19.440	2
0.84	0.69	-0.496	2024-01-02 18:02:19.134	2
0.469	0.969	-0.029	2024-01-02 18:02:19.255	1
0.577	0.644	-0.17	2024-01-02 18:02:19.344	1
0.532	0.691	-0.131	2024-01-02 18:02:19.465	1
0.595	0.746	-0.132	2024-01-02 18:02:19.524	1
0.701	0.66	-0.06	2024-01-02 18:02:19.683	1
0.769	0.859	-0.043	2024-01-02 18:02:19.735	1
0.987	0.535	-0.278	2024-01-02 18:02:19.855	2
0.88	0.323	-0.102	2024-01-02 18:02:19.945	2
0.85	0.406	-0.117	2024-01-02 18:02:20.640	2
0.845	0.425	-0.134	2024-01-02 18:02:20.154	2
0.92	0.44	-0.16	2024-01-02 18:02:20.284	2
1.09	0.436	-0.122	2024-01-02 18:02:20.334	2
1.014	0.431	-0.025	2024-01-02 18:02:20.454	2
0.569	0.672	-0.214	2024-01-02 18:02:20.545	1
0.579	0.681	-0.605	2024-01-02 18:02:20.665	2
0.458	0.524	-0.271	2024-01-02 18:02:20.754	1
0.626	0.642	-0.496	2024-01-02 18:02:20.881	2
0.532	0.707	-0.42	2024-01-02 18:02:20.934	1
0.499	0.708	-0.44	2024-01-02 18:02:21.570	1
0.682	0.717	-0.472	2024-01-02 18:02:21.154	2
0.708	0.725	-0.486	2024-01-02 18:02:21.265	2
1.0	0.523	-0.394	2024-01-02 18:02:21.355	2
0.811	0.499	-0.377	2024-01-02 18:02:21.478	2
0.849	0.386	-0.35	2024-01-02 18:02:21.565	2
0.887	0.424	-0.34	2024-01-02 18:02:21.687	2
0.911	0.412	-0.362	2024-01-02 18:02:21.745	2
1.025	0.432	-0.299	2024-01-02 18:02:21.864	2
0.661	0.649	-0.22	2024-01-02 18:02:21.954	1
0.573	0.546	-0.214	2024-01-02 18:02:22.850	1
0.48	0.718	-0.158	2024-01-02 18:02:22.165	1
0.493	0.787	-0.088	2024-01-02 18:02:22.289	1
0.509	0.852	-0.035	2024-01-02 18:02:22.345	1
0.481	0.852	0.002	2024-01-02 18:02:22.465	1
0.476	0.838	-0.002	2024-01-02 18:02:22.554	1
0.5	0.839	-0.002	2024-01-02 18:02:22.682	1
0.506	0.882	-0.009	2024-01-02 18:02:22.764	1
0.562	0.833	-0.008	2024-01-02 18:02:22.889	1
0.581	0.826	-0.024	2024-01-02 18:02:22.990	1
0.618	0.769	-0.084	2024-01-02 18:02:23.940	1
0.628	0.825	-0.144	2024-01-02 18:02:23.154	1
0.72	0.852	-0.188	2024-01-02 18:02:23.283	1
0.872	0.708	-0.107	2024-01-02 18:02:23.365	1
0.935	0.653	-0.037	2024-01-02 18:02:23.484	1
0.851	0.649	0.063	2024-01-02 18:02:23.591	1
0.612	0.535	0.206	2024-01-02 18:02:23.694	1
0.592	0.65	0.184	2024-01-02 18:02:23.785	1
0.472	0.682	0.314	2024-01-02 18:02:23.889	1
0.482	0.681	0.413	2024-01-02 18:02:23.965	1
0.474	0.703	0.462	2024-01-02 18:02:24.860	1
0.455	0.688	0.499	2024-01-02 18:02:24.189	1
0.43	0.728	0.521	2024-01-02 18:02:24.294	1
0.491	0.722	0.509	2024-01-02 18:02:24.389	1
0.45	0.731	0.501	2024-01-02 18:02:24.508	1
0.448	0.719	0.424	2024-01-02 18:02:24.565	1
0.538	0.725	0.357	2024-01-02 18:02:24.689	1
0.771	0.648	0.297	2024-01-02 18:02:24.788	1
0.743	0.654	0.333	2024-01-02 18:02:24.894	1
0.934	0.6	0.174	2024-01-02 18:02:24.988	1
1.061	0.44	0.139	2024-01-02 18:02:25.108	1
0.976	0.375	0.144	2024-01-02 18:02:25.165	1
0.952	0.289	0.052	2024-01-02 18:02:25.286	1
0.985	0.185	0.024	2024-01-02 18:02:25.388	2
1.027	0.154	0.021	2024-01-02 18:02:25.494	2
0.997	0.167	0.035	2024-01-02 18:02:25.590	2
1.07	0.06	0.029	2024-01-02 18:02:25.708	2
0.99	0.01	0.029	2024-01-02 18:02:25.797	2
0.958	0.0	0.035	2024-01-02 18:02:25.914	0
0.979	0.065	0.028	2024-01-02 18:02:25.985	2
1.088	0.012	0.05	2024-01-02 18:02:26.940	0
0.913	-0.008	0.107	2024-01-02 18:02:26.188	0
1.032	-0.033	0.044	2024-01-02 18:02:26.308	0
1.064	0.056	0.084	2024-01-02 18:02:26.393	0
0.95	0.006	0.083	2024-01-02 18:02:26.514	0
0.975	0.044	0.086	2024-01-02 18:02:26.586	0
0.973	0.147	0.08	2024-01-02 18:02:26.694	2
0.978	0.141	0.095	2024-01-02 18:02:26.790	0
