时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-2 14:0:17:967	WT901BLE67(D1376ACA69A3)	0.247	-0.080	0.959	-1.038	-0.366	-0.122	-5.96	-13.14	-84.10	-24.208	17.150	-74.058	0.73230	-0.11243	-0.05081	-0.66962	21.3	10080.1.7	100
2024-1-2 14:0:17:967	WT901BLE67(D1376ACA69A3)	0.247	-0.092	0.951	0.427	1.038	1.648	-5.99	-13.12	-84.05	-24.208	17.150	-74.058	0.73230	-0.11243	-0.05081	-0.66962	21.3	10080.1.7	100
2024-1-2 14:0:18:89	WT901BLE67(D1376ACA69A3)	0.240	-0.092	0.951	0.427	1.038	1.648	-5.99	-13.12	-84.05	-24.208	17.150	-74.058	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:89	WT901BLE67(D1376ACA69A3)	0.240	-0.089	0.957	0.000	0.549	1.160	-6.00	-13.04	-83.91	-24.208	17.150	-74.058	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:154	WT901BLE67(D1376ACA69A3)	0.233	-0.089	0.957	0.000	0.549	1.160	-6.00	-13.04	-83.91	-24.208	17.150	-74.058	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:154	WT901BLE67(D1376ACA69A3)	0.233	-0.081	0.962	1.404	-0.854	-0.305	-5.97	-12.97	-83.81	-24.208	17.150	-74.058	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:268	WT901BLE67(D1376ACA69A3)	0.229	-0.081	0.962	1.404	-0.854	-0.305	-5.97	-12.97	-83.81	-24.383	18.042	-73.758	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:268	WT901BLE67(D1376ACA69A3)	0.229	-0.095	0.971	0.244	2.991	0.427	-6.00	-12.80	-83.72	-24.383	18.042	-73.758	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:359	WT901BLE67(D1376ACA69A3)	0.221	-0.095	0.971	0.244	2.991	0.427	-6.00	-12.80	-83.72	-24.383	18.042	-73.758	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:360	WT901BLE67(D1376ACA69A3)	0.221	-0.083	0.972	0.854	0.488	0.244	-5.87	-12.70	-83.67	-24.383	18.042	-73.758	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:479	WT901BLE67(D1376ACA69A3)	0.236	-0.083	0.972	0.854	0.488	0.244	-5.87	-12.70	-83.67	-24.183	18.092	-74.283	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:480	WT901BLE67(D1376ACA69A3)	0.236	-0.091	0.973	-2.075	0.732	-0.244	-5.97	-12.60	-83.70	-24.183	18.092	-74.283	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:578	WT901BLE67(D1376ACA69A3)	0.254	-0.091	0.973	-2.075	0.732	-0.244	-5.97	-12.60	-83.70	-24.183	18.092	-74.283	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:578	WT901BLE67(D1376ACA69A3)	0.254	-0.090	0.992	-19.531	-7.263	0.977	-6.81	-12.67	-83.55	-24.183	18.092	-74.283	0.73267	-0.11478	-0.05029	-0.66888	21.3	10080.1.7	100
2024-1-2 14:0:18:691	WT901BLE67(D1376ACA69A3)	0.230	-0.090	0.992	-19.531	-7.263	0.977	-6.81	-12.67	-83.55	-24.183	18.092	-74.283	0.73553	-0.11148	-0.04749	-0.66647	21.3	10080.1.7	100
2024-1-2 14:0:18:691	WT901BLE67(D1376ACA69A3)	0.230	-0.108	0.956	1.099	-2.869	-3.113	-7.53	-12.66	-83.44	-24.183	18.092	-74.283	0.73553	-0.11148	-0.04749	-0.66647	21.3	10080.1.7	100
2024-1-2 14:0:18:760	WT901BLE67(D1376ACA69A3)	0.221	-0.108	0.956	1.099	-2.869	-3.113	-7.53	-12.66	-83.44	-24.183	18.092	-74.283	0.73553	-0.11148	-0.04749	-0.66647	21.3	10080.1.7	100
2024-1-2 14:0:18:760	WT901BLE67(D1376ACA69A3)	0.221	-0.104	0.949	-0.854	1.831	0.549	-7.50	-12.51	-83.53	-24.183	18.092	-74.283	0.73553	-0.11148	-0.04749	-0.66647	21.3	10080.1.7	100
2024-1-2 14:0:18:870	WT901BLE67(D1376ACA69A3)	0.262	-0.104	0.949	-0.854	1.831	0.549	-7.50	-12.51	-83.53	-24.183	18.092	-74.283	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:18:871	WT901BLE67(D1376ACA69A3)	0.262	-0.113	0.948	1.221	0.305	1.465	-7.29	-12.66	-83.65	-24.183	18.092	-74.283	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:18:960	WT901BLE67(D1376ACA69A3)	0.237	-0.113	0.948	1.221	0.305	1.465	-7.29	-12.66	-83.65	-24.183	18.092	-74.283	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:18:960	WT901BLE67(D1376ACA69A3)	0.237	-0.105	0.961	3.723	-0.671	0.122	-7.00	-12.70	-83.52	-24.183	18.092	-74.283	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:19:79	WT901BLE67(D1376ACA69A3)	0.242	-0.105	0.961	3.723	-0.671	0.122	-7.00	-12.70	-83.52	-22.842	20.500	-75.333	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:19:80	WT901BLE67(D1376ACA69A3)	0.242	-0.100	0.970	0.916	-0.366	0.000	-6.82	-12.73	-83.46	-22.842	20.500	-75.333	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:19:169	WT901BLE67(D1376ACA69A3)	0.236	-0.100	0.970	0.916	-0.366	0.000	-6.82	-12.73	-83.46	-22.842	20.500	-75.333	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:19:169	WT901BLE67(D1376ACA69A3)	0.236	-0.108	0.964	0.183	0.122	2.380	-6.83	-12.71	-83.25	-22.842	20.500	-75.333	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:19:289	WT901BLE67(D1376ACA69A3)	0.214	-0.108	0.964	0.183	0.122	2.380	-6.83	-12.71	-83.25	-23.692	19.717	-75.083	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:19:289	WT901BLE67(D1376ACA69A3)	0.214	-0.109	0.954	0.000	-0.366	0.610	-6.88	-12.61	-83.01	-23.692	19.717	-75.083	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:19:379	WT901BLE67(D1376ACA69A3)	0.245	-0.109	0.954	0.000	-0.366	0.610	-6.88	-12.61	-83.01	-23.692	19.717	-75.083	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:19:380	WT901BLE67(D1376ACA69A3)	0.245	-0.095	0.953	2.014	-0.061	1.770	-6.78	-12.69	-83.01	-23.692	19.717	-75.083	0.73560	-0.12180	-0.03839	-0.66519	21.3	10080.1.7	100
2024-1-2 14:0:19:501	WT901BLE67(D1376ACA69A3)	0.233	-0.095	0.953	2.014	-0.061	1.770	-6.78	-12.69	-83.01	-23.692	19.717	-75.083	0.73849	-0.11728	-0.04251	-0.66254	21.3	10080.1.7	100
2024-1-2 14:0:19:502	WT901BLE67(D1376ACA69A3)	0.233	-0.101	0.982	0.000	-1.770	0.671	-6.77	-12.74	-82.85	-23.692	19.717	-75.083	0.73849	-0.11728	-0.04251	-0.66254	21.3	10080.1.7	100
2024-1-2 14:0:19:562	WT901BLE67(D1376ACA69A3)	0.250	-0.101	0.982	0.000	-1.770	0.671	-6.77	-12.74	-82.85	-23.692	19.717	-75.083	0.73849	-0.11728	-0.04251	-0.66254	21.3	10080.1.7	100
2024-1-2 14:0:19:563	WT901BLE67(D1376ACA69A3)	0.250	-0.105	0.966	-0.854	-0.305	-0.305	-6.90	-12.70	-82.72	-23.692	19.717	-75.083	0.73849	-0.11728	-0.04251	-0.66254	21.3	10080.1.7	100
2024-1-2 14:0:19:681	WT901BLE67(D1376ACA69A3)	0.249	-0.105	0.966	-0.854	-0.305	-0.305	-6.90	-12.70	-82.72	-23.692	19.717	-75.083	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:19:681	WT901BLE67(D1376ACA69A3)	0.249	-0.111	0.962	-1.221	-0.549	0.183	-7.17	-12.80	-82.70	-23.692	19.717	-75.083	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:19:770	WT901BLE67(D1376ACA69A3)	0.226	-0.111	0.962	-1.221	-0.549	0.183	-7.17	-12.80	-82.70	-23.692	19.717	-75.083	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:19:770	WT901BLE67(D1376ACA69A3)	0.226	-0.107	0.947	-0.977	0.732	-1.099	-7.22	-12.78	-82.74	-23.692	19.717	-75.083	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:19:885	WT901BLE67(D1376ACA69A3)	0.234	-0.107	0.947	-0.977	0.732	-1.099	-7.22	-12.78	-82.74	-24.275	19.708	-74.208	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:19:886	WT901BLE67(D1376ACA69A3)	0.234	-0.097	0.961	1.099	-0.183	-1.282	-7.01	-12.78	-82.90	-24.275	19.708	-74.208	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:19:976	WT901BLE67(D1376ACA69A3)	0.225	-0.097	0.961	1.099	-0.183	-1.282	-7.01	-12.78	-82.90	-24.275	19.708	-74.208	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:19:976	WT901BLE67(D1376ACA69A3)	0.225	-0.097	0.971	0.610	0.916	-0.610	-6.87	-12.74	-83.00	-24.275	19.708	-74.208	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:20:97	WT901BLE67(D1376ACA69A3)	0.221	-0.097	0.971	0.610	0.916	-0.610	-6.87	-12.74	-83.00	-23.250	19.700	-73.542	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:20:97	WT901BLE67(D1376ACA69A3)	0.221	-0.101	0.961	1.160	0.244	-1.221	-6.79	-12.69	-83.07	-23.250	19.700	-73.542	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:20:156	WT901BLE67(D1376ACA69A3)	0.250	-0.101	0.961	1.160	0.244	-1.221	-6.79	-12.69	-83.07	-23.250	19.700	-73.542	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:20:156	WT901BLE67(D1376ACA69A3)	0.250	-0.108	0.967	0.732	0.244	-1.099	-6.65	-12.72	-83.25	-23.250	19.700	-73.542	0.73944	-0.11728	-0.04416	-0.66138	21.3	10080.1.7	100
2024-1-2 14:0:20:276	WT901BLE67(D1376ACA69A3)	0.233	-0.108	0.967	0.732	0.244	-1.099	-6.65	-12.72	-83.25	-23.250	19.700	-73.542	0.73828	-0.11731	-0.04352	-0.66269	21.3	10080.1.7	100
2024-1-2 14:0:20:277	WT901BLE67(D1376ACA69A3)	0.233	-0.094	0.954	0.977	0.488	-1.404	-6.56	-12.64	-83.33	-23.250	19.700	-73.542	0.73828	-0.11731	-0.04352	-0.66269	21.3	10080.1.7	100
2024-1-2 14:0:20:367	WT901BLE67(D1376ACA69A3)	0.208	-0.094	0.954	0.977	0.488	-1.404	-6.56	-12.64	-83.33	-23.250	19.700	-73.542	0.73828	-0.11731	-0.04352	-0.66269	21.3	10080.1.7	100
2024-1-2 14:0:20:367	WT901BLE67(D1376ACA69A3)	0.208	-0.072	0.961	1.648	-0.244	0.854	-6.58	-12.58	-83.15	-23.250	19.700	-73.542	0.73828	-0.11731	-0.04352	-0.66269	21.3	10080.1.7	100
2024-1-2 14:0:20:486	WT901BLE67(D1376ACA69A3)	0.244	-0.072	0.961	1.648	-0.244	0.854	-6.58	-12.58	-83.15	-23.250	19.700	-73.542	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:20:486	WT901BLE67(D1376ACA69A3)	0.244	-0.101	0.962	-1.648	-0.488	0.549	-6.51	-12.66	-83.11	-23.250	19.700	-73.542	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:20:576	WT901BLE67(D1376ACA69A3)	0.235	-0.101	0.962	-1.648	-0.488	0.549	-6.51	-12.66	-83.11	-23.250	19.700	-73.542	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:20:576	WT901BLE67(D1376ACA69A3)	0.235	-0.093	0.965	-0.916	0.000	1.526	-6.68	-12.62	-82.91	-23.250	19.700	-73.542	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:21:139	WT901BLE67(D1376ACA69A3)	0.219	-0.093	0.965	-0.916	0.000	1.526	-6.68	-12.62	-82.91	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:21:139	WT901BLE67(D1376ACA69A3)	0.219	-0.096	0.962	-2.319	1.343	1.404	-6.78	-12.57	-82.77	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:21:139	WT901BLE67(D1376ACA69A3)	0.261	-0.096	0.962	-2.319	1.343	1.404	-6.78	-12.57	-82.77	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:21:139	WT901BLE67(D1376ACA69A3)	0.261	-0.112	0.949	-3.662	6.592	7.568	-6.88	-12.43	-82.63	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:21:140	WT901BLE67(D1376ACA69A3)	0.230	-0.112	0.949	-3.662	6.592	7.568	-6.88	-12.43	-82.63	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:21:140	WT901BLE67(D1376ACA69A3)	0.230	-0.136	0.946	-3.174	3.723	2.563	-7.89	-11.61	-81.97	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:21:140	WT901BLE67(D1376ACA69A3)	0.214	-0.136	0.946	-3.174	3.723	2.563	-7.89	-11.61	-81.97	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:21:140	WT901BLE67(D1376ACA69A3)	0.214	-0.124	0.999	7.874	-3.540	-2.869	-7.89	-11.43	-81.77	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:21:140	WT901BLE67(D1376ACA69A3)	0.262	-0.124	0.999	7.874	-3.540	-2.869	-7.89	-11.43	-81.77	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:21:141	WT901BLE67(D1376ACA69A3)	0.262	-0.099	0.964	6.958	-20.020	-1.526	-5.98	-12.99	-82.67	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:55:616	WT901BLE67(D1376ACA69A3)	0.975	-0.099	0.964	6.958	-20.020	-1.526	-5.98	-12.99	-82.67	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:55:617	WT901BLE67(D1376ACA69A3)	0.975	0.028	-0.219	1.770	-0.977	-0.244	167.46	-78.03	-126.07	-23.975	18.375	-73.083	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:55:743	WT901BLE67(D1376ACA69A3)	0.980	0.028	-0.219	1.770	-0.977	-0.244	167.46	-78.03	-126.07	-50.892	20.900	-28.333	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:55:743	WT901BLE67(D1376ACA69A3)	0.980	0.018	-0.227	-1.770	-1.282	-0.549	167.56	-77.84	-125.99	-50.892	20.900	-28.333	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:55:826	WT901BLE67(D1376ACA69A3)	0.972	0.018	-0.227	-1.770	-1.282	-0.549	167.56	-77.84	-125.99	-50.892	20.900	-28.333	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
2024-1-2 14:0:55:827	WT901BLE67(D1376ACA69A3)	0.972	0.018	-0.236	-1.831	-0.061	0.244	167.56	-77.88	-126.07	-50.892	20.900	-28.333	0.73703	-0.11557	-0.04428	-0.66437	21.3	10080.1.7	100
