时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-7 17:53:20:628	WT901BLE67(D1376ACA69A3)	0.984	0.150	0.102	0.000	0.000	0.000	57.30	-79.61	-53.78	null	null	null	null	null	null	null	null	null	null
2024-1-7 17:53:20:687	WT901BLE67(D1376ACA69A3)	0.984	0.151	0.103	0.000	0.000	0.000	57.28	-79.61	-53.76	null	null	null	null	null	null	null	null	null	null
2024-1-7 17:53:20:805	WT901BLE67(D1376ACA69A3)	0.983	0.152	0.101	0.000	0.000	0.000	57.27	-79.61	-53.75	null	null	null	null	null	null	null	null	null	90
2024-1-7 17:53:20:896	WT901BLE67(D1376ACA69A3)	0.983	0.151	0.101	0.000	0.000	0.000	57.27	-79.61	-53.76	null	null	null	null	null	null	null	null	null	90
2024-1-7 17:53:21:15	WT901BLE67(D1376ACA69A3)	0.983	0.151	0.101	0.000	0.000	0.000	57.26	-79.60	-53.75	null	null	null	null	null	null	null	26.7	null	90
2024-1-7 17:53:21:108	WT901BLE67(D1376ACA69A3)	0.983	0.151	0.102	0.000	0.000	0.000	57.25	-79.60	-53.73	null	null	null	null	null	null	null	26.7	null	90
2024-1-7 17:53:21:228	WT901BLE67(D1376ACA69A3)	0.983	0.152	0.100	0.000	0.000	0.000	57.26	-79.60	-53.73	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:53:21:320	WT901BLE67(D1376ACA69A3)	0.984	0.151	0.102	0.000	0.000	0.000	57.26	-79.60	-53.74	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:53:21:437	WT901BLE67(D1376ACA69A3)	0.983	0.151	0.101	0.000	0.000	0.000	57.27	-79.60	-53.75	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:53:21:497	WT901BLE67(D1376ACA69A3)	0.984	0.152	0.103	0.000	0.000	0.000	57.29	-79.61	-53.77	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:53:21:618	WT901BLE67(D1376ACA69A3)	0.983	0.152	0.101	0.000	0.000	0.000	57.29	-79.61	-53.78	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:53:21:706	WT901BLE67(D1376ACA69A3)	0.983	0.152	0.102	0.000	0.000	0.000	57.30	-79.61	-53.79	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:53:21:825	WT901BLE67(D1376ACA69A3)	0.982	0.152	0.102	0.000	0.000	0.000	57.32	-79.61	-53.79	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:53:22:32	WT901BLE67(D1376ACA69A3)	0.983	0.152	0.101	0.000	0.000	0.000	57.31	-79.61	-53.79	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:53:22:34	WT901BLE67(D1376ACA69A3)	0.983	0.152	0.102	0.000	0.000	0.000	57.30	-79.61	-53.78	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:54:50:55	WT901BLE67(D1376ACA69A3)	-0.653	0.151	0.101	0.000	0.000	0.000	57.29	-79.61	-53.77	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:54:50:115	WT901BLE67(D1376ACA69A3)	-0.466	-0.220	-0.741	6.348	16.724	9.827	-164.32	33.25	-134.04	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:54:50:266	WT901BLE67(D1376ACA69A3)	-0.483	-0.272	-0.650	3.967	14.893	-4.517	-163.62	31.84	-134.43	null	null	null	null	null	null	null	26.7	10080.1.7	90
2024-1-7 17:54:50:324	WT901BLE67(D1376ACA69A3)	-0.511	-0.353	-0.725	-9.949	-4.211	-3.113	-163.55	31.17	-134.24	null	null	null	0.30228	-0.33279	0.89291	-0.02213	26.7	10080.1.7	90
2024-1-7 17:54:50:445	WT901BLE67(D1376ACA69A3)	-0.501	-0.314	-0.749	-25.024	-8.728	-6.165	-164.75	31.33	-133.39	null	null	null	0.30228	-0.33279	0.89291	-0.02213	26.7	10080.1.7	90
2024-1-7 17:54:50:536	WT901BLE67(D1376ACA69A3)	-0.491	-0.304	-0.917	-34.119	-5.920	-13.916	-166.70	31.73	-132.17	-265.125	-152.375	-7.150	0.30228	-0.33279	0.89291	-0.02213	26.7	10080.1.7	90
2024-1-7 17:54:50:654	WT901BLE67(D1376ACA69A3)	-0.384	-0.198	-0.905	-22.949	3.601	-10.071	-168.63	31.60	-130.57	-265.125	-152.375	-7.150	0.30228	-0.33279	0.89291	-0.02213	26.7	10080.1.7	90
2024-1-7 17:54:50:745	WT901BLE67(D1376ACA69A3)	-0.427	-0.082	-0.825	-30.457	7.141	-28.015	-170.08	30.69	-128.22	-265.125	-152.375	-7.150	0.28641	-0.37512	0.88116	0.02612	26.7	10080.1.7	90
2024-1-7 17:54:50:865	WT901BLE67(D1376ACA69A3)	-0.477	0.121	-0.873	-20.508	8.057	-12.817	-171.82	29.77	-125.88	-265.125	-152.375	-7.150	0.28641	-0.37512	0.88116	0.02612	26.7	10080.1.7	90
2024-1-7 17:54:50:925	WT901BLE67(D1376ACA69A3)	-0.490	-0.081	-0.773	-10.376	0.183	-4.150	-172.93	28.77	-125.65	-265.125	6.283	-15.825	0.28641	-0.37512	0.88116	0.02612	26.7	10080.1.7	90
2024-1-7 17:54:51:75	WT901BLE67(D1376ACA69A3)	-0.476	0.066	-0.758	1.465	-5.920	-6.592	-173.38	29.03	-124.72	-265.125	6.283	-15.825	0.28641	-0.37512	0.88116	0.02612	26.7	10080.1.7	90
2024-1-7 17:54:51:135	WT901BLE67(D1376ACA69A3)	-0.464	-0.054	-0.776	12.939	-16.785	-2.930	-172.49	30.20	-124.46	-265.125	6.283	-15.825	0.24820	-0.43573	0.86255	0.06656	26.7	10080.1.7	90
2024-1-7 17:54:51:255	WT901BLE67(D1376ACA69A3)	-0.304	-0.033	-0.786	14.038	-10.071	-9.399	-170.72	31.33	-123.59	-265.125	6.283	-15.825	0.24820	-0.43573	0.86255	0.06656	26.7	10080.1.7	90
2024-1-7 17:54:51:344	WT901BLE67(D1376ACA69A3)	-3.239	-0.107	-0.982	12.390	6.714	-11.597	-169.19	31.51	-122.35	-265.125	-204.650	-17.900	0.24820	-0.43573	0.86255	0.06656	26.7	10080.1.7	90
2024-1-7 17:54:51:676	WT901BLE67(D1376ACA69A3)	-0.538	-2.450	-4.736	5.310	28.442	-11.047	-167.23	28.64	-122.74	-265.125	-204.650	-17.900	0.26736	-0.43716	0.85834	0.02319	26.7	10080.1.7	90
2024-1-7 17:54:51:676	WT901BLE67(D1376ACA69A3)	-0.493	0.002	-0.531	-8.606	17.639	-21.362	-166.33	26.17	-120.33	-265.125	-204.650	-17.900	0.26736	-0.43716	0.85834	0.02319	26.7	10080.1.7	90
2024-1-7 17:54:51:677	WT901BLE67(D1376ACA69A3)	-0.481	-0.182	-0.464	-19.653	-12.329	3.296	-167.05	26.53	-119.86	-265.125	-204.650	-17.900	0.26736	-0.43716	0.85834	0.02319	26.7	10080.1.7	90
