时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-2 13:38:55:991	WT901BLE67(D1376ACA69A3)	-0.010	0.004	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:56:83	WT901BLE67(D1376ACA69A3)	-0.011	0.005	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:56:201	WT901BLE67(D1376ACA69A3)	-0.011	0.004	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:56:263	WT901BLE67(D1376ACA69A3)	-0.010	0.003	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:56:385	WT901BLE67(D1376ACA69A3)	-0.010	0.004	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:56:473	WT901BLE67(D1376ACA69A3)	-0.011	0.004	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:56:593	WT901BLE67(D1376ACA69A3)	-0.009	0.004	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:56:686	WT901BLE67(D1376ACA69A3)	-0.010	0.003	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:56:802	WT901BLE67(D1376ACA69A3)	-0.010	0.005	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:56:863	WT901BLE67(D1376ACA69A3)	-0.010	0.005	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:56:986	WT901BLE67(D1376ACA69A3)	-0.011	0.004	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:57:71	WT901BLE67(D1376ACA69A3)	-0.010	0.004	0.997	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:57:193	WT901BLE67(D1376ACA69A3)	-0.010	0.004	0.998	0.000	0.000	0.000	0.26	0.60	33.67	null	null	null	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:57:293	WT901BLE67(D1376ACA69A3)	-0.010	0.004	0.997	0.000	0.000	0.000	0.26	0.60	33.67	34.133	50.525	-76.050	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:57:402	WT901BLE67(D1376ACA69A3)	-0.010	0.004	0.998	0.000	0.000	0.000	0.26	0.60	33.67	34.133	50.525	-76.050	null	null	null	null	26.1	10080.1.7	100
2024-1-2 13:38:57:490	WT901BLE67(D1376ACA69A3)	-0.011	0.003	0.998	0.000	0.000	0.000	0.26	0.60	33.67	34.133	50.525	-76.050	0.95706	0.00064	0.00571	0.28961	26.1	10080.1.7	100
2024-1-2 13:38:57:613	WT901BLE67(D1376ACA69A3)	-0.011	0.005	0.997	0.000	0.000	0.000	0.26	0.60	33.67	34.133	50.525	-76.050	0.95706	0.00064	0.00571	0.28961	26.1	10080.1.7	100
2024-1-2 13:38:57:670	WT901BLE67(D1376ACA69A3)	-0.010	0.004	0.997	0.000	0.000	0.000	0.26	0.60	33.67	34.183	50.383	-75.917	0.95706	0.00064	0.00571	0.28961	26.1	10080.1.7	100
2024-1-2 13:38:57:792	WT901BLE67(D1376ACA69A3)	-0.011	0.004	0.997	0.000	0.000	0.000	0.26	0.60	33.67	34.183	50.383	-75.917	0.95706	0.00064	0.00571	0.28961	26.1	10080.1.7	100
2024-1-2 13:38:57:887	WT901BLE67(D1376ACA69A3)	-0.010	0.005	0.997	0.000	0.000	0.000	0.26	0.60	33.67	34.183	50.383	-75.917	0.95706	0.00064	0.00571	0.28961	26.1	10080.1.7	100
2024-1-2 13:38:58:2	WT901BLE67(D1376ACA69A3)	-0.010	0.005	0.998	0.000	0.000	0.000	0.26	0.60	33.67	34.183	50.383	-75.917	0.95706	0.00064	0.00571	0.28961	26.1	10080.1.7	100
2024-1-2 13:38:58:91	WT901BLE67(D1376ACA69A3)	-0.010	0.004	0.998	0.000	0.000	0.000	0.26	0.60	33.67	34.125	50.508	-75.850	0.95706	0.00064	0.00571	0.28961	26.1	10080.1.7	100
