时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-3 13:11:21:325	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.996	0.000	0.000	0.000	0.19	0.37	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:21:445	WT901BLE67(D1376ACA69A3)	-0.005	0.005	0.998	0.000	0.000	0.000	0.19	0.37	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:21:533	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.998	0.000	0.000	0.000	0.19	0.37	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:21:655	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.997	0.000	0.000	0.000	0.19	0.37	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:21:747	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.996	0.000	0.000	0.000	0.19	0.37	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:21:864	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.996	0.000	0.000	0.000	0.19	0.37	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:21:924	WT901BLE67(D1376ACA69A3)	-0.005	0.003	0.997	0.000	0.000	0.000	0.19	0.37	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:22:44	WT901BLE67(D1376ACA69A3)	-0.005	0.004	0.996	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:22:137	WT901BLE67(D1376ACA69A3)	-0.006	0.004	0.997	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:22:255	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.997	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:22:344	WT901BLE67(D1376ACA69A3)	-0.005	0.003	0.997	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:22:465	WT901BLE67(D1376ACA69A3)	-0.007	0.003	0.997	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:22:563	WT901BLE67(D1376ACA69A3)	-0.005	0.004	0.999	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:22:675	WT901BLE67(D1376ACA69A3)	-0.006	0.004	0.996	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:22:736	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.997	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:22:860	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.996	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:22:945	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.996	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:23:63	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.997	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:23:160	WT901BLE67(D1376ACA69A3)	-0.005	0.003	0.997	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:23:276	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.997	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:23:338	WT901BLE67(D1376ACA69A3)	-0.007	0.003	0.997	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:23:459	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.999	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:23:545	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.997	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:23:664	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.996	0.000	0.000	0.000	0.19	0.36	-43.35	null	null	null	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:23:760	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.998	0.000	0.000	0.000	0.19	0.36	-43.35	-30.858	33.833	-54.125	null	null	null	null	27.2	10080.1.7	100
2024-1-3 13:11:23:873	WT901BLE67(D1376ACA69A3)	-0.006	0.003	0.996	0.000	0.000	0.000	0.19	0.36	-43.35	-30.858	33.833	-54.125	null	null	null	null	27.2	10080.1.7	100
