时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-2 18:1:7:17	WT901BLE67(D1376ACA69A3)	-0.388	0.784	0.486	0.000	0.000	0.000	58.27	22.81	159.49	null	null	null	null	null	null	null	28.4	null	30
2024-1-2 18:1:7:138	WT901BLE67(D1376ACA69A3)	-0.388	0.783	0.485	0.000	0.000	0.000	58.27	22.81	159.49	null	null	null	null	null	null	null	28.4	null	30
2024-1-2 18:1:7:225	WT901BLE67(D1376ACA69A3)	-0.388	0.784	0.486	0.000	0.000	0.000	58.27	22.81	159.49	null	null	null	null	null	null	null	28.4	10080.1.7	30
2024-1-2 18:1:7:343	WT901BLE67(D1376ACA69A3)	-0.388	0.784	0.486	0.000	0.000	0.000	58.27	22.81	159.49	null	null	null	null	null	null	null	28.4	10080.1.7	30
2024-1-2 18:1:7:435	WT901BLE67(D1376ACA69A3)	-0.387	0.783	0.486	0.000	0.000	0.000	58.27	22.81	159.49	null	null	null	null	null	null	null	28.4	10080.1.7	30
2024-1-2 18:1:7:558	WT901BLE67(D1376ACA69A3)	-0.388	0.784	0.486	0.000	0.000	0.000	58.27	22.81	159.49	null	null	null	null	null	null	null	28.4	10080.1.7	30
2024-1-2 18:1:7:644	WT901BLE67(D1376ACA69A3)	-0.387	0.784	0.485	0.000	0.000	0.000	58.27	22.81	159.49	null	null	null	null	null	null	null	28.4	10080.1.7	30
2024-1-2 18:1:7:768	WT901BLE67(D1376ACA69A3)	-0.389	0.784	0.485	0.000	0.000	0.000	58.27	22.81	159.49	null	null	null	null	null	null	null	28.4	10080.1.7	30
2024-1-2 18:1:7:828	WT901BLE67(D1376ACA69A3)	-0.388	0.784	0.486	0.000	0.000	0.000	58.27	22.81	159.49	null	null	null	null	null	null	null	28.4	10080.1.7	30
2024-1-2 18:1:7:945	WT901BLE67(D1376ACA69A3)	-0.388	0.783	0.486	0.000	0.000	0.000	58.27	22.81	159.49	null	null	null	null	null	null	null	28.4	10080.1.7	30
