时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-7 15:9:4:65	WT901BLE67(D1376ACA69A3)	0.095	0.917	-0.378	-0.671	0.183	0.000	110.19	-5.64	-79.07	201.350	-139.450	37.783	0.46661	0.61053	-0.54611	-0.33337	28.0	10080.1.7	100
2024-1-7 15:9:4:176	WT901BLE67(D1376ACA69A3)	0.099	0.920	-0.382	-0.549	-1.526	0.488	110.19	-5.65	-79.16	201.233	-138.767	38.658	0.46661	0.61053	-0.54611	-0.33337	28.0	10080.1.7	100
2024-1-7 15:9:4:270	WT901BLE67(D1376ACA69A3)	0.116	0.924	-0.380	-1.038	-1.221	1.404	110.15	-5.71	-79.34	201.233	-138.767	38.658	0.46661	0.61053	-0.54611	-0.33337	28.0	10080.1.7	100
2024-1-7 15:9:4:388	WT901BLE67(D1376ACA69A3)	0.106	0.921	-0.376	-1.038	-2.502	2.563	110.13	-5.86	-79.63	201.233	-138.767	38.658	0.46613	0.61246	-0.54440	-0.33337	28.0	10080.1.7	100
2024-1-7 15:9:4:480	WT901BLE67(D1376ACA69A3)	0.111	0.923	-0.379	-1.404	-2.502	2.258	110.09	-6.01	-79.93	201.233	-138.767	38.658	0.46613	0.61246	-0.54440	-0.33337	28.0	10080.1.7	100
2024-1-7 15:9:4:599	WT901BLE67(D1376ACA69A3)	0.115	0.922	-0.378	-0.610	-1.160	1.587	110.08	-6.15	-80.16	201.142	-139.333	38.617	0.46613	0.61246	-0.54440	-0.33337	28.0	10080.1.7	100
2024-1-7 15:9:4:690	WT901BLE67(D1376ACA69A3)	0.118	0.924	-0.379	-1.465	-1.099	1.099	110.04	-6.25	-80.35	201.142	-139.333	38.617	0.46600	0.60562	-0.55118	-0.33487	28.0	10080.1.7	100
2024-1-7 15:9:4:811	WT901BLE67(D1376ACA69A3)	0.116	0.920	-0.377	-1.587	-0.061	0.549	109.94	-6.32	-80.46	201.142	-139.333	38.617	0.46600	0.60562	-0.55118	-0.33487	28.0	10080.1.7	100
2024-1-7 15:9:4:870	WT901BLE67(D1376ACA69A3)	0.112	0.925	-0.370	-1.770	0.488	0.488	109.84	-6.39	-80.46	201.142	-139.333	38.617	0.46600	0.60562	-0.55118	-0.33487	28.0	10080.1.7	100
2024-1-7 15:9:4:991	WT901BLE67(D1376ACA69A3)	0.118	0.911	-0.371	-1.770	0.671	0.122	109.70	-6.44	-80.42	201.208	-139.892	37.933	0.46600	0.60562	-0.55118	-0.33487	28.0	10080.1.7	100
2024-1-7 15:9:5:80	WT901BLE67(D1376ACA69A3)	0.111	0.927	-0.367	-1.648	0.488	0.244	109.63	-6.49	-80.39	201.208	-139.892	37.933	0.46600	0.60562	-0.55118	-0.33487	28.0	10080.1.7	100
