时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-4 12:24:41:944	WT901BLE67(D1376ACA69A3)	-0.005	0.001	0.998	0.000	0.061	0.000	0.22	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:42:35	WT901BLE67(D1376ACA69A3)	-0.005	0.002	0.996	0.000	0.000	0.000	0.21	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:42:155	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.997	0.000	0.000	0.000	0.21	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:42:212	WT901BLE67(D1376ACA69A3)	-0.006	0.001	0.996	0.000	0.061	0.000	0.21	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:42:338	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.997	0.000	0.000	0.000	0.20	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:42:425	WT901BLE67(D1376ACA69A3)	-0.007	0.002	0.995	0.000	0.000	0.000	0.20	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:42:546	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.997	0.000	0.000	0.000	0.20	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:42:638	WT901BLE67(D1376ACA69A3)	-0.006	0.001	0.996	0.000	0.000	0.000	0.20	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:42:759	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.997	0.000	0.000	0.000	0.19	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:42:814	WT901BLE67(D1376ACA69A3)	-0.006	0.001	0.997	0.000	0.000	0.000	0.19	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:42:936	WT901BLE67(D1376ACA69A3)	-0.006	0.001	0.996	0.000	0.000	0.000	0.19	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:43:24	WT901BLE67(D1376ACA69A3)	-0.007	0.001	0.998	0.000	0.000	0.000	0.19	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:43:143	WT901BLE67(D1376ACA69A3)	-0.005	0.001	0.996	0.000	0.000	0.000	0.18	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:43:236	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.997	0.000	0.000	0.000	0.18	0.36	-26.74	null	null	null	null	null	null	null	27.3	null	40
2024-1-4 12:24:43:353	WT901BLE67(D1376ACA69A3)	-0.006	0.001	0.998	0.000	0.000	0.000	0.18	0.36	-26.74	null	null	null	0.97284	0.00226	0.00269	-0.23126	27.3	null	40
2024-1-4 12:24:43:441	WT901BLE67(D1376ACA69A3)	-0.006	0.001	0.998	0.000	0.000	0.000	0.18	0.36	-26.74	null	null	null	0.97284	0.00226	0.00269	-0.23126	27.3	null	40
2024-1-4 12:24:43:562	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.997	0.000	0.000	0.000	0.18	0.36	-26.74	null	null	null	0.97284	0.00223	0.00269	-0.23126	27.3	null	40
2024-1-4 12:24:43:622	WT901BLE67(D1376ACA69A3)	-0.005	0.001	0.997	0.000	0.000	0.000	0.17	0.36	-26.74	null	null	null	0.97284	0.00223	0.00269	-0.23126	27.3	null	40
2024-1-4 12:24:43:741	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.997	0.000	0.000	0.000	0.17	0.36	-26.74	-24.100	48.433	-41.550	0.97284	0.00223	0.00269	-0.23126	27.3	null	40
2024-1-4 12:24:43:833	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.997	0.000	0.000	0.000	0.16	0.36	-26.74	-24.100	48.433	-41.550	0.97284	0.00223	0.00269	-0.23126	27.3	null	40
2024-1-4 12:24:43:952	WT901BLE67(D1376ACA69A3)	-0.006	0.002	0.997	0.000	0.000	0.000	0.16	0.36	-26.74	-24.100	48.433	-41.550	0.97284	0.00214	0.00272	-0.23126	27.3	null	40
