时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-2 0:38:55:389	WT901BLE67(D1376ACA69A3)	-0.096	-0.051	0.992	0.000	-0.061	0.000	-2.94	5.54	9.40	11.042	65.258	-23.908	0.99500	-0.02963	0.04617	0.08310	29.9	10080.1.7	100
2024-1-2 0:38:55:390	WT901BLE67(D1376ACA69A3)	-0.096	-0.050	0.994	0.427	-0.549	0.000	-2.93	5.53	9.40	11.042	65.258	-23.908	0.99500	-0.02963	0.04617	0.08310	29.9	10080.1.7	100
2024-1-2 0:38:55:480	WT901BLE67(D1376ACA69A3)	-0.097	-0.050	0.994	0.427	-0.549	0.000	-2.93	5.53	9.40	11.042	65.258	-23.908	0.99500	-0.02963	0.04617	0.08310	29.9	10080.1.7	100
2024-1-2 0:38:55:480	WT901BLE67(D1376ACA69A3)	-0.097	-0.051	0.993	-0.122	0.122	0.000	-2.93	5.53	9.40	11.042	65.258	-23.908	0.99500	-0.02963	0.04617	0.08310	29.9	10080.1.7	100
2024-1-2 0:38:55:599	WT901BLE67(D1376ACA69A3)	-0.096	-0.051	0.993	-0.122	0.122	0.000	-2.93	5.53	9.40	11.042	65.258	-23.908	0.99500	-0.02936	0.04590	0.08310	29.9	10080.1.7	100
2024-1-2 0:38:55:599	WT901BLE67(D1376ACA69A3)	-0.096	-0.050	0.992	0.061	-0.122	0.000	-2.93	5.53	9.40	11.042	65.258	-23.908	0.99500	-0.02936	0.04590	0.08310	29.9	10080.1.7	100
2024-1-2 0:38:55:659	WT901BLE67(D1376ACA69A3)	-0.096	-0.050	0.992	0.061	-0.122	0.000	-2.93	5.53	9.40	11.042	65.258	-23.908	0.99500	-0.02936	0.04590	0.08310	29.9	10080.1.7	100
2024-1-2 0:38:55:660	WT901BLE67(D1376ACA69A3)	-0.096	-0.050	0.993	-0.061	0.061	0.000	-2.93	5.53	9.40	11.042	65.258	-23.908	0.99500	-0.02936	0.04590	0.08310	29.9	10080.1.7	100
2024-1-2 0:38:55:779	WT901BLE67(D1376ACA69A3)	-0.096	-0.050	0.993	-0.061	0.061	0.000	-2.93	5.53	9.40	11.033	65.075	-23.792	0.99500	-0.02936	0.04590	0.08310	29.9	10080.1.7	100
2024-1-2 0:38:55:780	WT901BLE67(D1376ACA69A3)	-0.096	-0.051	0.993	0.000	0.000	0.000	-2.93	5.53	9.40	11.033	65.075	-23.792	0.99500	-0.02936	0.04590	0.08310	29.9	10080.1.7	100
