时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-4 19:3:46:637	WT901BLE67(D1376ACA69A3)	-0.002	0.010	0.997	0.000	0.000	0.000	-0.16	0.22	93.27	63.058	-1.567	-57.033	0.68661	-0.00275	0.00000	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:46:701	WT901BLE67(D1376ACA69A3)	-0.003	0.011	0.997	-0.061	0.000	0.000	-0.14	0.22	93.27	63.058	-1.567	-57.033	0.68661	-0.00275	0.00000	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:46:820	WT901BLE67(D1376ACA69A3)	-0.003	0.012	0.998	0.000	0.000	0.000	-0.12	0.21	93.27	63.058	-1.567	-57.033	0.68661	-0.00275	0.00000	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:46:909	WT901BLE67(D1376ACA69A3)	-0.002	0.010	0.997	0.000	0.000	0.000	-0.10	0.21	93.27	63.058	-1.567	-57.033	0.68661	-0.00211	0.00049	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:47:32	WT901BLE67(D1376ACA69A3)	-0.002	0.011	0.996	0.000	0.000	0.000	-0.08	0.21	93.27	63.058	-1.567	-57.033	0.68661	-0.00211	0.00049	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:47:122	WT901BLE67(D1376ACA69A3)	-0.001	0.010	0.998	0.000	0.000	0.000	-0.05	0.21	93.27	63.042	-1.317	-57.050	0.68661	-0.00211	0.00049	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:47:242	WT901BLE67(D1376ACA69A3)	-0.002	0.011	0.997	0.000	0.000	0.000	-0.04	0.20	93.27	63.042	-1.317	-57.050	0.68661	-0.00211	0.00049	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:47:301	WT901BLE67(D1376ACA69A3)	-0.001	0.010	0.996	0.000	0.000	0.000	-0.02	0.20	93.27	63.042	-1.317	-57.050	0.68661	-0.00156	0.00098	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:47:422	WT901BLE67(D1376ACA69A3)	-0.002	0.011	0.997	0.000	0.000	0.000	0.00	0.20	93.27	63.042	-1.317	-57.050	0.68661	-0.00156	0.00098	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:47:512	WT901BLE67(D1376ACA69A3)	-0.002	0.011	0.998	0.000	0.000	0.000	0.01	0.20	93.27	63.217	-4.433	-51.725	0.68661	-0.00156	0.00098	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:47:633	WT901BLE67(D1376ACA69A3)	0.030	0.011	0.995	0.000	0.000	0.000	0.03	0.20	93.27	63.217	-4.433	-51.725	0.68661	-0.00156	0.00098	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:47:720	WT901BLE67(D1376ACA69A3)	-0.004	-0.085	1.000	0.488	2.319	-67.444	0.04	0.22	86.70	63.217	-4.433	-51.725	0.68661	-0.00107	0.00137	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:47:842	WT901BLE67(D1376ACA69A3)	-0.370	0.011	0.996	0.000	0.000	0.000	0.08	0.22	85.51	63.217	-4.433	-51.725	0.68661	-0.00107	0.00137	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:47:903	WT901BLE67(D1376ACA69A3)	-0.218	-0.010	0.993	-0.854	-4.333	58.777	0.12	0.22	85.81	58.542	-3.775	-46.808	0.68661	-0.00107	0.00137	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:48:56	WT901BLE67(D1376ACA69A3)	-0.218	-0.120	1.000	-26.550	-42.297	-23.804	-0.39	-0.63	91.55	58.542	-3.775	-46.808	0.68661	-0.00107	0.00137	0.72696	26.8	10080.1.7	100
2024-1-4 19:3:48:113	WT901BLE67(D1376ACA69A3)	0.057	-0.126	1.003	-5.127	-2.014	-22.522	-2.09	-2.93	89.42	58.542	-3.775	-46.808	0.70160	0.00043	0.00024	0.71249	26.8	10080.1.7	100
2024-1-4 19:3:48:232	WT901BLE67(D1376ACA69A3)	0.052	0.001	1.350	11.353	44.373	-25.452	-3.13	-2.16	88.32	58.542	-3.775	-46.808	0.70160	0.00043	0.00024	0.71249	26.8	10080.1.7	100
2024-1-4 19:3:48:322	WT901BLE67(D1376ACA69A3)	-0.305	-0.073	0.995	16.235	-24.780	-140.503	-0.20	2.47	75.22	53.433	-3.942	-49.650	0.70160	0.00043	0.00024	0.71249	26.8	10080.1.7	100
2024-1-4 19:3:48:442	WT901BLE67(D1376ACA69A3)	-0.081	-0.156	0.880	18.616	63.477	-186.768	-0.31	6.25	56.18	53.433	-3.942	-49.650	0.70160	0.00043	0.00024	0.71249	26.8	10080.1.7	100
