时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2024-1-3 18:46:24:575	WT901BLE67(D1376ACA69A3)	-0.013	-0.005	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.008	36.975	-86.492	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:24:668	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.008	36.975	-86.492	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:24:788	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.125	36.675	-86.850	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:24:847	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.125	36.675	-86.850	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:24:965	WT901BLE67(D1376ACA69A3)	-0.013	-0.005	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.125	36.675	-86.850	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:25:58	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.125	36.675	-86.850	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:25:179	WT901BLE67(D1376ACA69A3)	-0.013	-0.004	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.142	36.375	-86.725	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:25:270	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.142	36.375	-86.725	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:25:388	WT901BLE67(D1376ACA69A3)	-0.011	-0.005	0.997	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.142	36.375	-86.725	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:25:481	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.997	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.142	36.375	-86.725	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:25:598	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.167	36.692	-86.858	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:25:659	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.999	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.167	36.692	-86.858	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:25:780	WT901BLE67(D1376ACA69A3)	-0.011	-0.005	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.167	36.692	-86.858	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:25:869	WT901BLE67(D1376ACA69A3)	-0.013	-0.004	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.167	36.692	-86.858	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:25:990	WT901BLE67(D1376ACA69A3)	-0.013	-0.004	0.997	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.067	36.883	-86.483	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:26:82	WT901BLE67(D1376ACA69A3)	-0.013	-0.005	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.067	36.883	-86.483	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:26:198	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.067	36.883	-86.483	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:26:259	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.067	36.883	-86.483	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:26:381	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.125	36.692	-86.733	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:26:469	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.125	36.692	-86.733	0.99994	-0.00241	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:26:588	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.997	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.125	36.692	-86.733	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:26:681	WT901BLE67(D1376ACA69A3)	-0.011	-0.005	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.125	36.692	-86.733	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:26:798	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.117	36.933	-86.758	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:26:889	WT901BLE67(D1376ACA69A3)	-0.013	-0.006	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.117	36.933	-86.758	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:10	WT901BLE67(D1376ACA69A3)	-0.013	-0.005	0.999	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.117	36.933	-86.758	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:69	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.117	36.933	-86.758	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:189	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.092	36.833	-86.567	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:283	WT901BLE67(D1376ACA69A3)	-0.013	-0.005	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.092	36.833	-86.567	0.99994	-0.00244	0.00610	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:398	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.092	36.833	-86.567	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:489	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.997	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.092	36.833	-86.567	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:610	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.075	37.008	-86.717	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:670	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.075	37.008	-86.717	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:789	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.075	37.008	-86.717	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:881	WT901BLE67(D1376ACA69A3)	-0.013	-0.004	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.075	37.008	-86.717	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:27:995	WT901BLE67(D1376ACA69A3)	-0.013	-0.005	0.997	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.125	36.975	-86.492	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:28:89	WT901BLE67(D1376ACA69A3)	-0.011	-0.005	0.997	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.125	36.975	-86.492	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:28:210	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.125	36.975	-86.492	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:28:298	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.125	36.975	-86.492	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:28:420	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.997	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.033	36.925	-86.533	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:28:483	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.033	36.925	-86.533	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:28:595	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.033	36.925	-86.533	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:28:688	WT901BLE67(D1376ACA69A3)	-0.011	-0.004	0.998	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.033	36.925	-86.533	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:28:813	WT901BLE67(D1376ACA69A3)	-0.011	-0.004	0.998	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.075	36.950	-86.425	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:28:898	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.075	36.950	-86.425	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:29:19	WT901BLE67(D1376ACA69A3)	-0.011	-0.004	0.998	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.075	36.950	-86.425	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:29:80	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.075	36.950	-86.425	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:29:198	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.083	36.525	-86.542	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:29:288	WT901BLE67(D1376ACA69A3)	-0.011	-0.004	0.997	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.083	36.525	-86.542	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:29:410	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.083	36.525	-86.542	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:29:498	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.083	36.525	-86.542	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:29:621	WT901BLE67(D1376ACA69A3)	-0.011	-0.004	0.998	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.100	36.617	-86.667	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:29:708	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.100	36.617	-86.667	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:29:830	WT901BLE67(D1376ACA69A3)	-0.012	-0.003	0.997	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.100	36.617	-86.667	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:29:889	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.100	36.617	-86.667	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:30:7	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.997	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.025	36.825	-86.592	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:30:98	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.025	36.825	-86.592	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:30:220	WT901BLE67(D1376ACA69A3)	-0.013	-0.005	0.997	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.025	36.825	-86.592	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:30:310	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.025	36.825	-86.592	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:30:427	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.997	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.058	37.017	-86.567	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:30:489	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.058	37.017	-86.567	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:30:608	WT901BLE67(D1376ACA69A3)	-0.013	-0.003	0.998	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.058	37.017	-86.567	0.99994	-0.00241	0.00604	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:30:697	WT901BLE67(D1376ACA69A3)	-0.011	-0.005	0.998	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.058	37.017	-86.567	0.99994	-0.00241	0.00604	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:30:818	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.142	36.942	-86.525	0.99994	-0.00241	0.00604	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:30:909	WT901BLE67(D1376ACA69A3)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.142	36.942	-86.525	0.99994	-0.00241	0.00604	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:31:26	WT901BLE67(D1376ACA69A3)	-0.013	-0.005	0.999	0.000	0.000	0.000	-0.27	0.69	-0.07	-115.142	36.942	-86.525	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:31:120	WT901BLE67(D1376ACA69A3)	-0.012	-0.005	0.998	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.142	36.942	-86.525	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:31:240	WT901BLE67(D1376ACA69A3)	-0.012	-0.006	0.998	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.075	37.042	-86.500	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:31:297	WT901BLE67(D1376ACA69A3)	-0.013	-0.004	0.999	0.000	0.000	0.000	-0.28	0.69	-0.07	-115.075	37.042	-86.500	0.99994	-0.00241	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:31:417	WT901BLE67(D1376ACA69A3)	-0.011	-0.004	0.998	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.075	37.042	-86.500	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:31:507	WT901BLE67(D1376ACA69A3)	-0.011	-0.004	0.997	0.000	0.000	0.000	-0.28	0.70	-0.07	-115.075	37.042	-86.500	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:31:628	WT901BLE67(D1376ACA69A3)	-0.369	-0.005	0.998	0.000	0.000	0.000	-0.27	0.70	-0.07	-115.108	36.850	-86.950	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
2024-1-3 18:46:31:721	WT901BLE67(D1376ACA69A3)	0.072	-0.163	0.994	-0.488	-1.709	30.579	-0.29	0.68	0.54	-115.108	36.850	-86.950	0.99994	-0.00244	0.00607	-0.00061	26.8	10080.1.7	75
